,TC,IMPORTE,IVA,RET ISR,RET IVA,TOTAL MX,TOTAL SAT
231,1,2268.0,362.88,0.0,0.0,2630.88,2630.88
232,1,0.0,0.0,0.0,0.0,0.0,115.0
233,1,1020.0,163.2,0.0,0.0,1183.2,1183.2
234,1,794.17,136.8,0.0,0.0,794.17,794.17
235,1,1117.38,136.8,0.0,0.0,1117.38,1117.38
236,1,2084.0,136.8,0.0,0.0,2084.0,2084.0
237,1,0.0,136.8,0.0,0.0,0.0,0.0
238,1,855.0,136.8,0.0,0.0,991.8,991.8
239,1,459.18,73.46,0.0,0.0,532.64,532.64
240,1,3100.0,496.0,0.0,0.0,3596.0,3596.0
241,1,18.97,3.03,0.0,0.0,22.0,22.0
242,1,18.97,3.03,0.0,0.0,22.0,22.0
243,1,143.06,22.89,0.0,0.0,165.95,165.95
244,1,263.22,42.12,0.0,0.0,305.34000000000003,305.34
245,1,0.0,489.6,0.0,0.0,0.0,0.0
246,1,3060.0,489.6,0.0,0.0,3549.6,3549.6
247,1,0.0,0.0,0.0,0.0,0.0,857.3
248,1,279.32,44.68,0.0,0.0,324.0,324.0
249,1,0.0,153.6,0.0,0.0,0.0,0.0
250,1,960.0,153.6,0.0,0.0,1113.6,1113.6
251,1,45.43,7.27,0.0,0.0,52.7,52.7
252,1,1300.0,208.0,0.0,0.0,1508.0,1508.0
253,1,25.0,4.0,0.0,0.0,29.0,29.0
254,1,86.51,13.49,0.0,0.0,100.0,100.0
255,1,0.0,68.16,0.0,0.0,0.0,0.0
256,1,426.0,68.16,0.0,0.0,494.15999999999997,494.16
257,1,847.82,132.23,0.0,0.0,980.0500000000001,980.05
258,1,83.2,13.31,0.0,0.0,96.51,96.51
259,1,2039.2,326.27,0.0,0.0,2365.4700000000003,2365.47
260,1,1294.0,207.04,0.0,0.0,1501.04,1501.04
261,1,0.0,2400.0,0.0,0.0,0.0,0.0
262,1,15000.0,2400.0,0.0,0.0,17400.0,17400.0
263,1,105.0,0.0,0.0,0.0,105.0,105.0
264,1,1745.1,279.22,0.0,0.0,2024.32,2024.32
265,1,2326.8,372.29,0.0,0.0,2699.09,2699.09
266,1,172.41,27.59,0.0,0.0,200.0,200.0
267,1,3485.37,557.66,0.0,61.58,3981.45,3981.45
268,1,3428.69,548.59,0.0,26.43,3950.8500000000004,3950.85
269,1,167.24,26.76,0.0,0.0,194.0,194.0
270,1,1792.62,286.82,0.0,21.9,2057.54,2057.54
271,1,0.0,17.36,0.0,0.0,0.0,0.0
272,1,0.0,17.36,0.0,0.0,0.0,0.0
273,1,0.0,17.36,0.0,0.0,0.0,0.0
274,1,0.0,17.36,0.0,0.0,0.0,0.0
275,1,0.0,17.36,0.0,0.0,0.0,0.0
276,1,108.51,17.36,0.0,0.0,125.87,125.87
277,1,1600.0,256.0,0.0,0.0,1856.0,1856.0
278,1,4129.65,22.34,0.0,0.0,4151.99,4151.99
279,1,476.14,66.06,0.0,0.0,542.2,478.99
280,1,0.0,268.2,0.0,0.0,0.0,0.0
281,1,1676.25,268.2,0.0,0.0,1944.45,1944.45
282,1,698.5,111.76,0.0,0.0,810.26,810.26
283,1,0.0,141.31,0.0,0.0,0.0,0.0
284,1,883.2,141.31,0.0,0.0,1024.51,1024.51
285,1,243.4,38.94,0.0,0.0,282.34000000000003,282.34
286,1,1010.0,129.28,0.0,0.0,1139.28,937.28
287,1,440.88,70.54,0.0,0.0,511.42,511.42
288,1,1100.0,176.0,0.0,0.0,1276.0,1276.0
289,1,5970.12,955.22,0.0,0.0,6925.34,6925.34
290,1,0.0,0.0,0.0,0.0,0.0,1953.95
291,1,17164.63,2746.34,0.0,0.0,19910.97,19910.97
292,1,862.07,137.93,0.0,0.0,1000.0,1000.0
293,1,0.0,16.8,0.0,0.0,0.0,0.0
294,1,105.0,16.8,0.0,0.0,121.8,121.8
295,1,0.0,800.0,0.0,0.0,0.0,0.0
296,1,5000.0,800.0,0.0,0.0,5800.0,5800.0
297,1,2095.13,335.22,0.0,28.28,2402.07,2402.07
298,1,153.68,24.59,0.0,0.0,178.27,178.27
299,1,7625.8,1059.99,0.0,0.0,8685.79,7684.94
300,1,15339.42,2454.31,0.0,0.0,17793.73,17793.73
301,1,28.4,4.54,0.0,0.0,32.94,32.94
302,1,0.0,171.2,0.0,0.0,0.0,0.0
303,1,0.0,171.2,0.0,0.0,0.0,0.0
304,1,1070.0,171.2,0.0,0.0,1241.2,1241.2
305,1,10300.0,48.0,0.0,0.0,10348.0,10348.0
306,1,0.0,0.0,0.0,0.0,0.0,2424.3
307,1,0.0,80.89,0.0,0.0,0.0,0.0
308,1,0.0,80.89,0.0,0.0,0.0,0.0
309,1,519.11,80.89,0.0,0.0,600.0,600.0
310,1,0.0,6.06,0.0,0.0,0.0,0.0
311,1,37.87,6.06,0.0,0.0,43.93,43.93
312,1,2457.0,393.12,0.0,0.0,2850.12,2850.12
313,1,865.21,134.96,0.0,0.0,1000.1700000000001,1000.17
314,1,207.0,33.12,0.0,0.0,240.12,240.12
315,1,112.5,18.0,0.0,0.0,130.5,130.5
316,1,0.0,0.0,0.0,0.0,0.0,0.0
317,1,0.0,0.0,0.0,0.0,0.0,0.0
318,1,0.01,0.0,0.0,0.0,0.01,0.0
319,1,105.0,0.0,0.0,0.0,105.0,105.0
320,1,25461.67,78.4,0.0,0.0,25461.67,25461.67
321,1,490.0,78.4,0.0,0.0,568.4,568.4
322,1,195.0,31.2,0.0,0.0,226.2,226.2
323,1,1011.41,157.74,0.0,0.0,1169.15,1169.15
324,1,24246.3,3879.41,0.0,0.0,28125.71,28125.71
325,1,-1343.72,-214.99,0.0,0.0,-1558.71,-1558.71
326,1,-214.99,-34.4,0.0,0.0,-249.39000000000001,-249.39
327,1,5344.76,855.16,0.0,0.0,6199.92,6199.92
328,1,5152.17,824.35,0.0,0.0,5976.52,5976.52
329,1,3670.47,587.28,0.0,0.0,4257.75,4257.75
330,1,2932.5,469.2,0.0,0.0,3401.7,3401.7
331,1,131.89,21.1,0.0,0.0,152.98999999999998,152.99
332,1,4226.15,676.18,0.0,0.0,4902.33,4902.33
333,1,0.0,544.31,0.0,0.0,0.0,0.0
334,1,0.0,544.31,0.0,0.0,0.0,0.0
335,1,0.0,544.31,0.0,0.0,0.0,0.0
336,1,0.0,544.31,0.0,0.0,0.0,0.0
337,1,0.0,544.31,0.0,0.0,0.0,0.0
338,1,0.0,544.31,0.0,0.0,0.0,0.0
339,1,3401.94,544.31,0.0,0.0,3946.25,3946.25
340,1,744.89,116.07,0.0,0.0,860.96,860.96
341,1,2569.85,411.18,0.0,0.0,2981.0299999999997,2981.03
342,1,682.81,109.25,0.0,0.0,792.06,792.06
343,1,4200.0,672.0,0.0,0.0,4872.0,4872.0
344,1,2060.15,329.62,0.0,0.0,2389.77,2389.77
345,1,6985.0,1117.6,0.0,0.0,8102.6,8102.6
346,1,585.0,93.6,0.0,0.0,678.6,678.6
